paper id,year,title,abstract,url
4dcde2fa7ebb28bcceceaa229b06fb607e219c3e,2023,Immunity in malignant brain tumors Tumor entities role of immunotherapy and specific contribution of myeloid cells to the brain tumor microenvironment,Malignant brain tumors lack effective treatment that can improve their poor overall survival achieved with standard of care Advancement in different cancer treatments has shifted the focus in brain tumor research and clinical trials toward immunotherapy based approaches The investigation of the immune cell landscape revealed a dominance of myeloid cells in the tumor microenvironment Their exact roles and functions are the subject of ongoing research Current evidence suggests a complex interplay of tumor cells and myeloid cells with competing functions toward support vs control of tumor growth,https://www.semanticscholar.org/paper/4dcde2fa7ebb28bcceceaa229b06fb607e219c3e
9af015f1d00ac6cdba68df894070465e05db18d7,2023,Immunobiology and Cytokine Modulation of the Pediatric Brain Tumor Microenvironment A Scoping Review,Simple Summary Pediatric brain tumors are unique from adult tumors and pose challenges due to their distinct characteristics including differences in tumor immunology molecular profiles and response to various treatments Understanding these differences is crucial for developing targeted and effective therapeutic strategies This review delves into our current understanding of the immunobiology of various pediatric brain tumors and aims to unravel the intricate interactions between the tumor microenvironment and immune system By identifying the essential characteristics and immunobiology of pediatric tumors we can explore strategies to leverage the immune system for novel treatment approaches Abstract Utilizing a Scoping Review strategy in the domain of immune biology to identify immune therapeutic targets knowledge gaps for implementing immune therapeutic strategies for pediatric brain tumors was assessed The analysis demonstrated limited efforts to date to characterize and understand the immunological aspects of tumor biology with an over reliance on observations from the adult glioma population Foundational knowledge regarding the frequency and ubiquity of immune therapeutic targets is an area of unmet need along with the development of immune competent pediatric tumor models to test therapeutics and especially combinatorial treatment Opportunities arise in the evolution of pediatric tumor classification from histological to molecular with targeted immune therapeutics,https://www.semanticscholar.org/paper/9af015f1d00ac6cdba68df894070465e05db18d7
f3d78fcf03916f1af60f934484b1700f23274e46,2022,Enhanced proton treatment with a LDLR ligand peptide conjugated gold nanoparticles targeting the tumor microenvironment in an infiltrative brain tumor model,The tumor microenvironment TME of glioblastoma malforms GBMs contains tumor invasiveness factors microvascular proliferation migratory cancer stem cells and infiltrative tumor cells which leads to tumor recurrence in the absence of effective drug delivery in a Blood Brain Barrier BBB intact TME and radiological invisibility Low density lipoprotein receptor LDLR is abundant in the blood brain barrier and overexpressed in malignant glioma cells This study aimed to treat the TME with transmitted proton sensitization of LDLR ligand functionalized gold nanoparticles ApoB AuNPs in an infiltrative F glioma rat model BBB crossing ApoB AuNPs were selectively taken up in microvascular endothelial cells proliferation and pericyte invasion which are therapeutic targets in the glioma TME Proton sensitization treated the TME and bulk tumor volume with enhanced therapeutic efficacy by compared to that with protons alone Immunohistochemistry demonstrated efficient treatment of endothelial cell proliferation and migratory tumor cells of invasive microvessels in the TME with saving normal tissues Taken together these data indicate that the use of LDLR ligand functionalized gold nanoparticles is a promising strategy to treat infiltrative malignant glioma while overcoming BBB crossing,https://www.semanticscholar.org/paper/f3d78fcf03916f1af60f934484b1700f23274e46
8a6fae50c88454bdb98d3819728a88ca88fc099e,2020,Glioma derived IL orchestrates an inflammatory brain tumor microenvironment that accelerates glioma progression,None,https://www.semanticscholar.org/paper/8a6fae50c88454bdb98d3819728a88ca88fc099e
aa199a322d372b21dcfd5d95825a0c421359ff2b,2022,Multimodal imaging of the dynamic brain tumor microenvironment during glioblastoma progression and in response to treatment,None,https://www.semanticscholar.org/paper/aa199a322d372b21dcfd5d95825a0c421359ff2b
a340dfc4c505586f8053e56e59fbefdda9f045a2,2021,Elimination of Radiation Induced Senescence in the Brain Tumor Microenvironment Attenuates Glioblastoma Recurrence,This study uncovers mechanisms by which radiotherapy can promote GBM recurrence by inducing senescence in non neoplastic brain cells suggesting that senolytic therapy can blunt recurrent GBM growth and aggressiveness Glioblastomas GBM are routinely treated with ionizing radiation IR but inevitably recur and develop therapy resistance During treatment the tissue surrounding tumors is also irradiated IR potently induces senescence and senescent stromal cells can promote the growth of neighboring tumor cells by secreting factors that create a senescence associated secretory phenotype SASP Here we carried out transcriptomic and tumorigenicity analyses in irradiated mouse brains to elucidate how radiotherapy induced senescence of non neoplastic brain cells promotes tumor growth Following cranial irradiation widespread senescence in the brain occurred with the astrocytic population being particularly susceptible Irradiated brains showed an altered transcriptomic profile characterized by upregulation of CDKN A p a key enforcer of senescence and several SASP factors including HGF the ligand of the receptor tyrosine kinase RTK Met Preirradiation of mouse brains increased Met driven growth and invasiveness of orthotopically implanted glioma cells Importantly irradiated p mouse brains did not exhibit senescence and consequently failed to promote tumor growth Senescent astrocytes secreted HGF to activate Met in glioma cells and to promote their migration and invasion in vitro which could be blocked by HGF neutralizing antibodies or the Met inhibitor crizotinib Crizotinib also slowed the growth of glioma cells implanted in preirradiated brains Treatment with the senolytic drug ABT navitoclax selectively killed senescent astrocytes in vivo significantly attenuating growth of glioma cells implanted in preirradiated brains These results indicate that SASP factors in the irradiated tumor microenvironment drive GBM growth via RTK activation underscoring the potential utility of adjuvant senolytic therapy for preventing GBM recurrence after radiotherapy Significance This study uncovers mechanisms by which radiotherapy can promote GBM recurrence by inducing senescence in non neoplastic brain cells suggesting that senolytic therapy can blunt recurrent GBM growth and aggressiveness Graphical Abstract,https://www.semanticscholar.org/paper/a340dfc4c505586f8053e56e59fbefdda9f045a2
917a14fb3ae8be24df73395aa07613b8988adea3,2022,Murine brain tumor microenvironment immunophenotyping using mass cytometry,None,https://www.semanticscholar.org/paper/917a14fb3ae8be24df73395aa07613b8988adea3
d531416a1e343307f185c21e87af94b7baee59fe,2020,The CNS and the Brain Tumor Microenvironment Implications for Glioblastoma Immunotherapy,Glioblastoma GBM is the most common and aggressive malignant primary brain tumor in adults Its aggressive nature is attributed partly to its deeply invasive margins its molecular and cellular heterogeneity and uniquely tolerant site of origin the brain The immunosuppressive central nervous system CNS and GBM microenvironments are significant obstacles to generating an effective and long lasting anti tumoral response as evidenced by this tumor s reduced rate of treatment response and high probability of recurrence Immunotherapy has revolutionized patients outcomes across many cancers and may open new avenues for patients with GBM There is now a range of immunotherapeutic strategies being tested in patients with GBM that target both the innate and adaptive immune compartment These strategies include antibodies that re educate tumor macrophages vaccines that introduce tumor specific dendritic cells checkpoint molecule inhibition engineered T cells and proteins that help T cells engage directly with tumor cells Despite this there is still much ground to be gained in improving the response rates of the various immunotherapies currently being trialed Through historical and contemporary studies we examine the fundamentals of CNS immunity that shape how to approach immune modulation in GBM including the now revamped concept of CNS privilege We also discuss the preclinical models used to study GBM progression and immunity Lastly we discuss the immunotherapeutic strategies currently being studied to help overcome the hurdles of the blood brain barrier and the immunosuppressive tumor microenvironment,https://www.semanticscholar.org/paper/d531416a1e343307f185c21e87af94b7baee59fe
421a23fbb52d54ab4b32cadcf12d70a6d40be78d,2021,Old Stars and New Players in the Brain Tumor Microenvironment,In recent years the direct interaction between cancer cells and tumor microenvironment TME has emerged as a crucial regulator of tumor growth and a promising therapeutic target The TME including the surrounding peritumoral regions is dynamically modified during tumor progression and in response to therapies However the mechanisms regulating the crosstalk between malignant and non malignant cells are still poorly understood especially in the case of glioma an aggressive form of brain tumor The presence of unique brain resident cell types namely neurons and glial cells and an exceptionally immunosuppressive microenvironment pose additional important challenges to the development of effective treatments targeting the TME In this review we provide an overview on the direct and indirect interplay between glioma and neuronal and glial cells introducing new players and mechanisms that still deserve further investigation We will focus on the effects of neural activity and glial response in controlling glioma cell behavior and discuss the potential of exploiting these cellular interactions to develop new therapeutic approaches with the aim to preserve proper brain functionality,https://www.semanticscholar.org/paper/421a23fbb52d54ab4b32cadcf12d70a6d40be78d
66961621a3362fecaa4ee973c855284afe0de0e4,2021,Brain Tumor Microenvironment and Angiogenesis in Melanoma Brain Metastases,Background High tumor infiltrating lymphocytes TILs and hemorrhage are important prognostic factors in patients who have undergone craniotomy for melanoma brain metastases MBM before at the University of Pittsburgh Medical Center UPMC We have investigated the prognostic or predictive role of these histopathologic factors in a more contemporary craniotomy cohort from the University of North Carolina at Chapel Hill UNC CH We have also sought to understand better how various immune cell subsets angiogenic factors and blood vessels may be associated with clinical and radiographic features in MBM Methods Brain tumors from the UPMC and UNC CH patient cohorts were re analyzed by standard histopathology tumor tissue imaging and gene expression profiling Variables were associated with overall survival OS and radiographic features Results The patient subgroup with high TILs in craniotomy specimens and subsequent treatment with immune checkpoint inhibitors ICIs n trended to have longer OS compared to the subgroup with high TILs and no treatment with ICIs n p Bleeding was significantly associated with tumor volume before craniotomy high melanoma specific expression of basic fibroblast growth factor bFGF and high density of CD SMA blood vessels Brain tumors with high versus low peritumoral edema before craniotomy had low versus high incidence of brisk TILs Melanoma specific expression of the vascular endothelial growth factor VEGF was comparable to VEGF expression by TILs and was not associated with any particular prognostic radiographic or histopathologic features A gene signature associated with gamma delta gd T cells was significantly higher in intracranial than same patient extracranial metastases and primary melanoma However gdT cell density in MBM was not prognostic Conclusions ICIs may provide greater clinical benefit in patients with brisk TILs in MBM Intratumoral hemorrhage in brain metastases a significant clinical problem is not merely associated with tumor volume but also with underlying biology bFGF may be an essential pathway to target VEGF a factor principally associated with peritumoral edema is not only produced by melanoma cells but also by TILs Therefore suppressing low grade peritumoral edema using corticosteroids may harm TIL function in of cases Ongoing clinical trials targeting VEGF in MBM may predict a lack of unfavorable impacts on TIL density and or intratumoral hemorrhage,https://www.semanticscholar.org/paper/66961621a3362fecaa4ee973c855284afe0de0e4
